ORIGEN	DESTINO	Distance
1	2	2.5
2	3	3.3
3	4	2.1
4	5	3.6
5	6	1.3
6	7	1.6
8	9	7.1
9	10	3.4
10	11	2.2
12	13	2.4
13	14	1.1
14	15	1.9
16	17	6.4
17	18	2.4
18	19	1.3
19	20	8.4
23	24	3.8
24	25	4.2
25	26	2.6
26	27	1.1
27	28	1.9
28	29	1.1
29	30	1.4
30	31	5.6
31	32	3.8
34	35	2.4
35	36	2.9
36	37	6.6
37	38	1.4
38	39	4.6
39	40	3.7
40	41	3.6
43	44	4.1
44	45	5.3
49	50	5.5
50	51	2.2
51	52	1.1
52	53	3.5
53	54	4.9
54	55	7.1
55	56	7.2
56	57	1.6
57	58	5.4
58	59	3.6
59	60	1.8
60	61	6.4
61	62	6.2
62	63	1.2
63	64	1.1
64	65	1.6
65	66	1.5
66	67	1.4
69	70	1.6
70	71	8.3
71	72	4.5
72	73	2.2
73	74	2.2
74	75	2.5
75	76	3.4
76	77	6.3
77	78	6.6
78	79	2.2
79	80	2.2
80	81	1.3
81	82	1.3
82	83	1.1
84	83	5.3
85	86	3.2
86	87	9.3
87	88	1.2
88	89	2.5
89	90	2.4
90	91	2.2
91	92	1.1
92	93	3.2
93	94	5.6
94	95	5.2
95	96	1.6
96	97	5.4
98	99	1.1
99	100	1.5
100	101	6.5
104	105	2.2
105	106	5.3
106	107	2.3
107	108	1.4
108	109	2.7
112	113	1.1
113	114	4.5
114	115	5.5
115	116	3.4
21	15	3.5
21	16	4.1
117	118	3.3
116	117	2.5
22	11	1.1
22	12	2.9
33	32	2.2
130	11	3.6
130	12	4.2
41	42	2.1
7	8	3.3
38	43	3.3
45	46	2.1
46	47	3.3
47	48	2.1
67	68	1.1
101	102	2.2
103	97	5.3
103	98	4.3
109	110	2.3
110	111	4.1
45	590 0
21	67	0
16	97	0
28	52	0
65	79	0
64	78	0
4	128	0
20	119	0
20	120	0
33	42	0
38	121	0
38	122	0
42	123	0
27	129	0
53	125	0
42	127	0
113	126	0
61	124	0
60	124	0
68	21	0
21	103	0
68	103	0
34	130	0
34	62	0
60	46	0
46	8	0
49	104	0
80	66	0
89	47	0
29	53	0
23	7	0
98	16	0
86	128	0
55	27	0
54	28	0
56	26	0
57	25	0
52	30	0
31	51	0
24	58	0
86	4	0
112	102	0
5	87	0
